"id_materia","nombre_materia","clave_alfa","hsm","ebc","id_carrera","cuatrimestre","n_unidades","integradora"
774,"ELECTRONICA DIGITAL","ELDIG",NULL,"-",7,NULL,NULL,"-"
775,"EXPRESION ORAL Y ESCRITA I","EXOE1",NULL,"-",7,NULL,NULL,"-"
776,"EXPRESION ORAL Y ESCRITA II","EXOE2",NULL,"-",7,NULL,NULL,"-"
777,"FISICA","FISIC",NULL,"-",7,NULL,NULL,"-"
778,"FORMACION SOCIOCULTURAL I","FOSO1",NULL,"-",7,NULL,NULL,"-"
779,"FORMACION SOCIOCULTURAL II","FOSO2",NULL,"-",7,NULL,NULL,"-"
780,"IDIOMA EXTRANJERO I","IDEX1",NULL,"-",7,NULL,NULL,"-"
781,"IDIOMA EXTRANJERO II","IDEX2",NULL,"-",7,NULL,NULL,"-"
782,"IDIOMA EXTRANJERO III","IDEX3",NULL,"-",7,NULL,NULL,"-"
783,"IDIOMA EXTRANJERO IV","IDEX4",NULL,"-",7,NULL,NULL,"-"
784,"IDIOMA EXTRANJERO V","IDEX5",NULL,"-",7,NULL,NULL,"-"
785,"INFORMATICA I","INFO1",NULL,"-",7,NULL,NULL,"-"
786,"INFORMATICA II","INFO2",NULL,"-",7,NULL,NULL,"-"
787,"INFORMATICA III","INFO3",NULL,"-",7,NULL,NULL,"-"
788,"INSTRUMENTACION INDUSTRIAL I","INST1",NULL,"-",7,NULL,NULL,"-"
789,"INSTRUMENTACION INDUSTRIAL II","INST2",NULL,"-",7,NULL,NULL,"-"
790,"INSTRUMENTACION VIRTUAL","IVIRT",NULL,"-",7,NULL,NULL,"-"
791,"INTEGRACION DE SISTEMAS AUTOMATICOS","INSAU",NULL,"-",7,NULL,NULL,"-"
792,"MATEMATICAS I","MATE1",NULL,"-",7,NULL,NULL,"-"
793,"MATEMATICAS II","MATE2",NULL,"-",7,NULL,NULL,"-"
794,"MATEMATICAS III","MATE3",NULL,"-",7,NULL,NULL,"-"
795,"MICROCONTROLADORES","MICRO",NULL,"-",7,NULL,NULL,"-"
796,"ORGANIZACION Y GESTION DE LA PRODUCCION","OGPRO",NULL,"-",7,NULL,NULL,"-"
797,"PROGRAMACION VISUAL","PROVI",NULL,"-",7,NULL,NULL,"-"
798,"QUIMICA","QUIMI",NULL,"-",7,NULL,NULL,"-"
799,"RELACIONES LABORALES","RELAB",NULL,"-",7,NULL,NULL,"-"
800,"TECNOLOGIAS DE FABRICACION","TFABR",NULL,"-",7,NULL,NULL,"-"
801,"TELECOMUNICACIONES INDUSTRIALES","TELIN",NULL,"-",7,NULL,NULL,"-"
891,"ADMINISTRACION","ADMON",NULL,"-",40,NULL,NULL,"-"
892,"ADMINISTRACION DE PROYECTOS I","APRY1",NULL,"-",40,NULL,NULL,"-"
893,"ADMINISTRACION DE PROYECTOS II","APRY2",NULL,"-",40,NULL,NULL,"-"
894,"ANALISIS E INTERPRETACION DE ESTADOS FINANCIEROS","AIEFI",NULL,"-",40,NULL,NULL,"-"
895,"CALIDAD","CALID",NULL,"-",40,NULL,NULL,"-"
896,"CAPACITACION Y DESARROLLO DE PERSONAL","CDEPE",NULL,"-",40,NULL,NULL,"-"
897,"COMERCIALIZACION","COMER",NULL,"-",40,NULL,NULL,"-"
898,"COMERCIO EXTERIOR","COEXT",NULL,"-",40,NULL,NULL,"-"
899,"CONSULTORIA EMPRESARIAL","COEMP",NULL,"-",40,NULL,NULL,"-"
900,"CONTABILIDAD","CONTA",NULL,"-",40,NULL,NULL,"-"
901,"CONTABILIDAD DE COSTOS","COCOS",NULL,"-",40,NULL,NULL,"-"
902,"DESARROLLO LOCAL Y REGIONAL","DELYR",NULL,"-",40,NULL,NULL,"-"
903,"ECONOMIA APLICADA A LOS NEGOCIOS","ECANE",NULL,"-",40,NULL,NULL,"-"
